race_number,car_number,driver,finish_pos,points
1,45,Tyler Reddick,1,58
1,47,Ricky Stenhouse Jr.,2,35
1,22,Joey Logano,3,36
1,9,Chase Elliott,4,33
1,6,Brad Keselowski,5,32
1,38,Zane Smith,6,41
1,17,Chris Buescher,7,39
1,35,Riley Herbst,8,35
1,21,Josh Berry,9,28
1,23,Bubba Wallace,10,37
1,4,Noah Gragson,11,27
1,24,William Byron,12,25
1,7,Daniel Suarez,13,31
1,10,Ty Dillon,14,23
1,8,Kyle Busch,15,29
1,5,Kyle Larson,16,21
1,51,Cody Ware,17,20
1,77,Carson Hocevar,18,27
1,16,A.J. Allmendinger,19,18
1,1,Ross Chastain,20,17
1,43,Erik Jones,21,16
1,71,Michael McDowell,22,19
1,54,Ty Gibbs,23,14
1,41,Cole Custer,24,13
1,60,Ryan Preece,25,15
1,42,John Hunter Nemechek,26,19
1,12,Ryan Blaney,27,27
1,67,Corey Heim,28,0
1,84,Jimmie Johnson,29,0
1,97,Shane van Gisbergen,30,8
1,11,Denny Hamlin,31,7
1,66,Casey Mears,32,6
1,88,Connor Zilisch,33,5
1,2,Austin Cindric,34,13
1,20,Christopher Bell,35,3
1,19,Chase Briscoe,36,2
1,3,Austin Dillon,37,1
1,40,Justin Allgaier,38,0
1,34,Todd Gilliland,39,1
1,48,Alex Bowman,40,3
1,78,B.J. McLeod,41,1
2,45,Tyler Reddick,1,67
2,19,Chase Briscoe,2,43
2,1,Ross Chastain,3,34
2,77,Carson Hocevar,4,38
2,7,Daniel Suarez,5,32
2,97,Shane van Gisbergen,6,32
2,38,Zane Smith,7,30
2,23,Bubba Wallace,8,48
2,60,Ryan Preece,9,32
2,12,Ryan Blaney,10,31
2,9,Chase Elliott,11,38
2,16,A.J. Allmendinger,12,25
2,11,Denny Hamlin,13,24
2,4,Noah Gragson,14,23
2,17,Chris Buescher,15,22
2,10,Ty Dillon,16,21
2,6,Brad Keselowski,17,22
2,22,Joey Logano,18,22
2,42,John Hunter Nemechek,19,18
2,71,Michael McDowell,20,17
2,20,Christopher Bell,21,16
2,41,Cole Custer,22,16
2,48,Alex Bowman,23,14
2,43,Erik Jones,24,13
2,34,Todd Gilliland,25,12
2,2,Austin Cindric,26,21
2,51,Cody Ware,27,10
2,24,William Byron,28,25
2,3,Austin Dillon,29,8
2,88,Connor Zilisch,30,9
2,44,J.J. Yeley,31,0
2,5,Kyle Larson,32,13
2,35,Riley Herbst,33,4
2,8,Kyle Busch,34,7
2,78,B.J. McLeod,35,2
2,47,Ricky Stenhouse Jr.,36,1
2,54,Ty Gibbs,37,1
2,21,Josh Berry,38,1
3,45,Tyler Reddick,1,61
3,97,Shane van Gisbergen,2,45
3,20,Christopher Bell,3,34
3,54,Ty Gibbs,4,48
3,71,Michael McDowell,5,40
3,5,Kyle Larson,6,31
3,9,Chase Elliott,7,33
3,12,Ryan Blaney,8,33
3,16,A.J. Allmendinger,9,43
3,11,Denny Hamlin,10,28
3,23,Bubba Wallace,11,31
3,8,Kyle Busch,12,25
3,24,William Byron,13,26
3,88,Connor Zilisch,14,23
3,22,Joey Logano,15,22
3,10,Ty Dillon,16,21
3,42,John Hunter Nemechek,17,20
3,60,Ryan Preece,18,19
3,3,Austin Dillon,19,18
3,6,Brad Keselowski,20,17
3,34,Todd Gilliland,21,23
3,4,Noah Gragson,22,15
3,35,Riley Herbst,23,14
3,17,Chris Buescher,24,20
3,7,Daniel Suarez,25,20
3,21,Josh Berry,26,11
3,33,Jesse Love,27,0
3,47,Ricky Stenhouse Jr.,28,9
3,41,Cole Custer,29,11
3,51,Cody Ware,30,7
3,77,Carson Hocevar,31,8
3,2,Austin Cindric,32,5
3,38,Zane Smith,33,4
3,43,Erik Jones,34,3
3,1,Ross Chastain,35,13
3,48,Alex Bowman,36,5
3,19,Chase Briscoe,37,1
4,12,Ryan Blaney,1,65
4,20,Christopher Bell,2,54
4,5,Kyle Larson,3,36
4,54,Ty Gibbs,4,36
4,11,Denny Hamlin,5,47
4,23,Bubba Wallace,6,37
4,24,William Byron,7,32
4,45,Tyler Reddick,8,39
4,71,Michael McDowell,9,28
4,43,Erik Jones,10,27
4,97,Shane van Gisbergen,11,26
4,34,Todd Gilliland,12,26
4,60,Ryan Preece,13,24
4,17,Chris Buescher,14,30
