race_number,car_number,driver,finish_pos,points
1,2,,0,38
1,12,,0,48
1,23,,0,10
1,51,,0,12
2,7,,0,13
2,12,,0,36
2,48,,0,17
2,99,,0,4
3,1,,0,25
3,17,,0,30
3,38,,0,8
3,88,,0,45
4,12,,0,22
4,19,,0,2
4,77,,0,5
5,5,,0,44
5,24,,0,42
5,48,,0,39
5,77,,0,15
6,4,,0,23
6,5,,0,56
6,16,,0,34
7,11,,0,53
7,21,,0,5
7,22,,0,39
7,60,,0,35
8,6,,0,9
8,23,,0,25
8,45,,0,41
8,77,,0,5
9,11,,0,50
9,48,,0,17
9,54,,0,40
10,6,,0,1
10,8,,0,10
10,23,,0,45
10,71,,0,26
11,2,,0,22
11,6,,0,9
11,24,,0,32
11,77,,0,23
12,17,,0,29
12,20,,0,49
12,43,,0,5
12,54,,0,9
13,1,,0,50
13,17,,0,20
13,21,,0,25
13,24,,0,65
14,1,,0,27
14,3,,0,8
14,9,,0,27
14,19,,0,28
15,8,,0,31
15,17,,0,45
15,43,,0,27
15,54,,0,34
16,9,,0,36
16,34,,0,21
16,45,,0,17
16,88,,0,50
17,8,,0,17
17,9,,0,43
17,42,,0,31
17,43,,0,30
18,2,,0,11
18,6,,0,45
18,22,,0,9
18,41,,0,18
19,71,,0,15
19,88,,0,40
20,9,,0,35
20,16,,0,19
20,71,,0,33
21,3,,0,22
21,19,,0,44
21,20,,0,38
21,21,,0,9
22,5,,0,47
22,8,,0,17
22,10,,0,9
22,23,,0,50
23,7,,0,15
23,20,,0,20
23,21,,0,29
24,4,,0,16
24,22,,0,22
24,48,,0,30
24,60,,0,35
25,3,,0,54
25,11,,0,35
25,60,,0,7
26,10,,0,15
26,47,,0,2
26,60,,0,29
27,4,,0,23
27,7,,0,10
27,11,,0,38
27,45,,0,53
28,2,,0,18
28,20,,0,40
28,38,,0,6
28,41,,0,10
29,16,,0,5
29,38,,0,42
29,42,,0,25
30,7,,0,4
30,22,,0,52
30,42,,0,3
30,43,,0,9
31,1,,0,35
31,99,,0,20
32,34,,0,20
32,41,,0,16
32,45,,0,36
32,99,,0,32
33,41,,0,9
33,47,,0,23
33,99,,0,17
34,10,,0,17
34,35,,0,5
34,47,,0,1
35,4,,0,7
35,24,,0,61
35,34,,0,36
35,35,,0,1
36,12,,0,58
36,34,,0,15
36,38,,0,8
36,51,,0,7
